path,page_count
/private/courts/file/civilcasecoord_2018topresent_jccplog.pdf,1333
/private/courts/file/civilcasecoordarchive_2017andolder_jccplog.pdf,1924
/private/courts/file/cjcac-20161014-materials.pdf,228
/private/courts/file/combined_ciap_meeting_materials_20240827_revisedpdf.pdf,40
/private/courts/file/compiled-appendices-pt-1-appx-d-draft-mitigated-negative-declaration.pdf,963
/private/courts/file/compiled-appendices-pt-2-appx-e-g-draft-mitigated-negative-declaration.pdf,1295
/private/courts/file/ctac-20150327-materials-public.pdf,175
/private/courts/file/ctac-20150701-rps-materials.pdf,23
/private/courts/file/ctac-20150805-rps-minutes.pdf,2
/private/courts/file/deferred-maintenance-report-fy-2026-27.pdf,914
/private/courts/file/deferredmaintenance-fy2025-26.pdf,954
/private/courts/file/dwc-7-posting-instructions-mpn-members.pdf,1
/private/courts/file/eandp-20141009-mm.pdf,1517
/private/courts/file/eandp-20141120-mm.pdf,1112
/private/courts/file/eandp-20150108-mm.pdf,570
/private/courts/file/eandp-2015031213-mm.pdf,1351
/private/courts/file/eandp-20150407-mm.pdf,454
/private/courts/file/eandp-20150615-mm1.pdf,972
/private/courts/file/eandp-20150615-mm2.pdf,2133
/private/courts/file/eandp-20150810-mm2.pdf,2129
/private/courts/file/eandp-20151008-mm1.pdf,1589
/private/courts/file/eandp-20151008-mm2.pdf,2132
/private/courts/file/elkins-commentchart.pdf,1204
/private/courts/file/elkins-commentchart_0.pdf,1204
/private/courts/file/executiveandplanning-20221118-mm.pdf,465
/private/courts/file/executiveandplanning-20230825-mm.pdf,40
/private/courts/file/executiveandplanning-20240905-mmpdf.pdf,206
/private/courts/file/facilities-deferred-maintenance-report-fy-2018-19.pdf,261
/private/courts/file/facilities-deferred-maintenance-report-fy-2019-20.pdf,850
/private/courts/file/facilities-deferred-maintenance-report-fy-2020-21.pdf,1511
/private/courts/file/facilities-deferred-maintenance-report-fy-2021-22.pdf,1141
/private/courts/file/facilities-deferred-maintenance-report-fy-2022-23.pdf,1131
/private/courts/file/famjuv-tcbac-waac-20180910-ab1058-publiccomment.pdf,5
/private/courts/file/forum-20150211-materials.pdf,56
/private/courts/file/forum-20150611-materials.pdf,409
/private/courts/file/forum-20150820-ebinder.pdf,147
/private/courts/file/forum-20151008-materials.pdf,186
/private/courts/file/forum-20160609-materials.pdf,426
/private/courts/file/forum-20161215-materials.pdf,464
/private/courts/file/forum-20170216-orientationpacket.pdf,113
/private/courts/file/forum-20170413-materials.pdf,191
/private/courts/file/forum-20170817-materials.pdf,88
/private/courts/file/forum-20180215-materials.pdf,1076
/private/courts/file/forum-20180412-materials.pdf,114
/private/courts/file/forum-20180607-materials.pdf,42
/private/courts/file/forum-20180607-materials_0.pdf,42
/private/courts/file/forum-20180816-materials.pdf,84
/private/courts/file/forum-20201008-materialsr.pdf,492
/private/courts/file/itac-20151020-rps-materials.pdf,164
/private/courts/file/itac-20160216-rps-materials-open.pdf,33
/private/courts/file/itac-20161202-materials.pdf,160
/private/courts/file/itema13.pdf,168
/private/courts/file/itema4.pdf,26
/private/courts/file/jbbc-20200528-materials.pdf,209
/private/courts/file/jbwcp-20160317-materials.pdf,485
/private/courts/file/jbwcp-20200218-materials.pdf,343
/private/courts/file/jc-121211-item3.pdf,41
/private/courts/file/jc-121311-itemm.pdf,343
/private/courts/file/jc-20120831-itemd.pdf,291
/private/courts/file/jc-20120831-itemd_1.pdf,291
/private/courts/file/jc-20121214-info3.pdf,118
/private/courts/file/jc-20121214-itema2.pdf,16
/private/courts/file/jctc-20150721-materials.pdf,74
/private/courts/file/judicial_council_of_california_civil_jury_instructions_2024.pdf,3524
/private/courts/file/judicial_council_of_california_civil_jury_instructions_2025.pdf,3536
/private/courts/file/judicial_council_of_california_civil_jury_instructions_2026.pdf,3560
/private/courts/file/los-angeles-sch1-2425.pdf,4
/private/courts/file/ma-2024-09-avidex-industries-llc.pdf,55
/private/courts/file/materials.pdf,341
/private/courts/file/paf-20160309-materials.pdf,288
/private/courts/file/paf-20170228-materials-post.pdf,23
/private/courts/file/paf-20250617-lasc-materials_0.pdf,28
/private/courts/file/pclc-20170223-materials.pdf,42
/private/courts/file/prop_1_fact_sheet_2024_04_10.pdf,2
/private/courts/file/prop_1_fact_sheet_2024_04_10_0.pdf,2
/private/courts/file/response_lpa-86287_amd01-fe.pdf,9
/private/courts/file/rules-20200820-materials.pdf,1439
/private/courts/file/rules-20211008-materials.pdf,405
/private/courts/file/rules-20211209-materials.pdf,246
/private/courts/file/rules-20220330-materials.pdf,729
/private/courts/file/rules-20220823-materials.pdf,1019
/private/courts/file/rules-20220922-materials.pdf,239
/private/courts/file/rules-20221116-materials.pdf,475
/private/courts/file/rules-20230329-materials.pdf,698
/private/courts/file/rules-20230629-materials.pdf,29
/private/courts/file/rules-20230822-materials.pdf,1433
/private/courts/file/rules-20231207-materials.pdf,404
/private/courts/file/rules-20240328-materials.pdf,928
/private/courts/file/rules-20240328-materials_0.pdf,928
/private/courts/file/rules-20240806-materials.pdf,442
/private/courts/file/rules-20240813-materials.pdf,919
/private/courts/file/rules-20241205-materials.pdf,346
/private/courts/file/rules-20241205-materials_0.pdf,346
/private/courts/file/rules-20241205-materials_1.pdf,346
/private/courts/file/rules-20250313-materials.pdf,662
/private/courts/file/rules-20250313-materials_0.pdf,661
/private/courts/file/rules-20250410-materials.pdf,454
/private/courts/file/rules-20250411-materials.pdf,577
/private/courts/file/rules-20250904-materials.pdf,926
/private/courts/file/rules-20250911-materials.pdf,1355
/private/courts/file/rupro-20150320-materials.pdf,257
/private/courts/file/rupro-20150416-materials.pdf,1119
/private/courts/file/rupro-20150908-materials.pdf,991
/private/courts/file/rupro-20160318-materials.pdf,998
/private/courts/file/rupro-20160414-materials.pdf,662
/private/courts/file/rupro-20160907-materials.pdf,984
/private/courts/file/rupro-20161118-materials.pdf,1364
/private/courts/file/rupro-20170224-materials.pdf,838
/private/courts/file/rupro-20170726-materials.pdf,988
/private/courts/file/rupro-20180405-materials.pdf,559
/private/courts/file/rupro-20180501-materials.pdf,1024
/private/courts/file/rupro-20180823-materials.pdf,1279
/private/courts/file/rupro-20181019-materials.pdf,994
/private/courts/file/rupro-20190410-materials.pdf,1081
/private/courts/file/rupro-20190821-materials.pdf,1943
/private/courts/file/rupro-20200409-materials.pdf,1987
/private/courts/file/sandiego_final_eir_appendices_f.pdf,964
/private/courts/file/tcbac-20150310-res-appendices.pdf,540
/private/courts/file/tcbac-20150310-res-appendices_0.pdf,540
/private/courts/file/tcbac-20150323-materials.pdf,261
/private/courts/file/tcbac-20180405-materials.pdf,38
/private/courts/file/tcbac-20190228-fms-materials.pdf,230
/private/courts/file/tcbac-20190321-materials.pdf,256
/private/courts/file/tcbac-20200220-fms-materials.pdf,50
/private/courts/file/tcbac-20200325-materials.pdf,7
/private/courts/file/tcbac-20200602-materials.pdf,40
/private/courts/file/tcbac-supplemental-materials-20140116.pdf,462
/private/courts/file/tcfmac-20141215-meeting-materials.pdf,56
/private/courts/file/tcfmac-20150522-meeting-materials.pdf,242
/private/courts/file/tcfmac-20150717-open-meeting-materials.pdf,293
/private/courts/file/tcfmac-20160404-meeting-materials.pdf,155
/private/courts/file/tcfmac-20160722-materials.pdf,328
/private/courts/file/tcfmac-20161014-materials.pdf,239
/private/courts/file/tcfmac-20170519-materials.pdf,294
/private/courts/file/tcfmac-20170721-material.pdf,223
/private/courts/file/tcfmac-20180525-open-materials.pdf,376
/private/courts/file/tcfmac-20180720-five_year_master_plan.pdf,257
/private/courts/file/tcfmac-20180720-open-materials.pdf,561
/private/courts/file/tcfmac-20200831-materials.pdf,1888
/private/courts/file/tcfmac-20210129-open-materials.pdf,323
/private/courts/file/tcfmac-20210719-open-materials.pdf,335
